FREQ,Frequency,REF_AREA,Territory,DATA_TYPE,Indicator,IMPUTED_RENTS,Including or not including imputed rents,FAM_MAIN_INCOME_SOURCE,Households main income source,TIME_PERIOD,Observation
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",REDD_MEDIANO_FAM,Annual median households income,2,Not including imputed rents,9,Total,2011,26801
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",REDD_MEDIANO_FAM,Annual median households income,2,Not including imputed rents,9,Total,2012,26392
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",REDD_MEDIANO_FAM,Annual median households income,2,Not including imputed rents,9,Total,2013,24575
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",REDD_MEDIANO_FAM,Annual median households income,2,Not including imputed rents,9,Total,2014,25088
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",REDD_MEDIANO_FAM,Annual median households income,2,Not including imputed rents,9,Total,2015,25951
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",REDD_MEDIANO_FAM,Annual median households income,2,Not including imputed rents,9,Total,2016,24081
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",REDD_MEDIANO_FAM,Annual median households income,2,Not including imputed rents,9,Total,2017,24017
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",REDD_MEDIANO_FAM,Annual median households income,2,Not including imputed rents,9,Total,2018,25766
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",REDD_MEDIANO_FAM,Annual median households income,2,Not including imputed rents,9,Total,2019,29559
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",REDD_MEDIANO_FAM,Annual median households income,2,Not including imputed rents,9,Total,2020,26948
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",REDD_MEDIANO_FAM,Annual median households income,2,Not including imputed rents,9,Total,2021,27700
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",REDD_MEDIANO_FAM,Annual median households income,2,Not including imputed rents,9,Total,2022,32900
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",REDD_MEDIANO_FAM,Annual median households income,2,Not including imputed rents,9,Total,2023,32830
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",REDD_MEDIO_FAM,Annual average households income,1,Including imputed rents,9,Total,2010,37317
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",REDD_MEDIO_FAM,Annual average households income,1,Including imputed rents,9,Total,2011,36339
