Data values,Data description,Area code,Area name,Indicator,Notes
0.83,Rate per 100,W01000025,Llanfihangel Ysgeifiog,Police recorded stalking and harassment per at-risk population,
0.59,Rate per 100,W01000025,Llanfihangel Ysgeifiog,Police recorded antisocial behaviour per at-risk population,
0.45,Rate per 100,W01000025,Llanfihangel Ysgeifiog,Police recorded theft per at-risk population,
,Rate per 100,W01000025,Llanfihangel Ysgeifiog,Police recorded burglary per residential dwelling,Confidential
0.15,Rate per 100,W01000025,Llanfihangel Ysgeifiog,Fire incidents per at-risk population,
0.42,Rate per 100,W01000026,Llangoed,Police recorded violence with injury per at-risk population,
,Rate per 100,W01000026,Llangoed,Police recorded public order offences per at-risk population,Confidential
0.41,Rate per 100,W01000026,Llangoed,Police recorded criminal damage per at-risk population,
0.67,Rate per 100,W01000026,Llangoed,Police recorded violence without injury per at-risk population,
0.78,Rate per 100,W01000026,Llangoed,Police recorded stalking and harassment per at-risk population,
0.76,Rate per 100,W01000026,Llangoed,Police recorded antisocial behaviour per at-risk population,
,Rate per 100,W01000026,Llangoed,Police recorded theft per at-risk population,Confidential
,Rate per 100,W01000026,Llangoed,Police recorded burglary per residential dwelling,Confidential
0.22,Rate per 100,W01000026,Llangoed,Fire incidents per at-risk population,
0.39,Rate per 100,W01000027,Llanidan,Police recorded violence with injury per at-risk population,
0.28,Rate per 100,W01000027,Llanidan,Police recorded public order offences per at-risk population,
0.71,Rate per 100,W01000027,Llanidan,Police recorded criminal damage per at-risk population,
0.64,Rate per 100,W01000027,Llanidan,Police recorded violence without injury per at-risk population,
0.63,Rate per 100,W01000027,Llanidan,Police recorded stalking and harassment per at-risk population,
0.73,Rate per 100,W01000027,Llanidan,Police recorded antisocial behaviour per at-risk population,
0.27,Rate per 100,W01000027,Llanidan,Police recorded theft per at-risk population,
,Rate per 100,W01000027,Llanidan,Police recorded burglary per residential dwelling,Confidential
0.18,Rate per 100,W01000027,Llanidan,Fire incidents per at-risk population,
0.54,Rate per 100,W01000028,Llannerch-y-medd,Police recorded violence with injury per at-risk population,
0.52,Rate per 100,W01000028,Llannerch-y-medd,Police recorded public order offences per at-risk population,
0.43,Rate per 100,W01000028,Llannerch-y-medd,Police recorded criminal damage per at-risk population,
0.78,Rate per 100,W01000028,Llannerch-y-medd,Police recorded violence without injury per at-risk population,
1.03,Rate per 100,W01000028,Llannerch-y-medd,Police recorded stalking and harassment per at-risk population,
0.79,Rate per 100,W01000028,Llannerch-y-medd,Police recorded antisocial behaviour per at-risk population,
0.55,Rate per 100,W01000028,Llannerch-y-medd,Police recorded theft per at-risk population,
,Rate per 100,W01000028,Llannerch-y-medd,Police recorded burglary per residential dwelling,Confidential
0.25,Rate per 100,W01000028,Llannerch-y-medd,Fire incidents per at-risk population,
1.17,Rate per 100,W01000029,London Road,Police recorded violence with injury per at-risk population,
1.28,Rate per 100,W01000029,London Road,Police recorded public order offences per at-risk population,
1.15,Rate per 100,W01000029,London Road,Police recorded criminal damage per at-risk population,
1.73,Rate per 100,W01000029,London Road,Police recorded violence without injury per at-risk population,
1.92,Rate per 100,W01000029,London Road,Police recorded stalking and harassment per at-risk population,
2.68,Rate per 100,W01000029,London Road,Police recorded antisocial behaviour per at-risk population,
1.7,Rate per 100,W01000029,London Road,Police recorded theft per at-risk population,
,Rate per 100,W01000029,London Road,Police recorded burglary per residential dwelling,Confidential
0.24,Rate per 100,W01000029,London Road,Fire incidents per at-risk population,
1.04,Rate per 100,W01000030,Maeshyfryd,Police recorded violence with injury per at-risk population,
0.81,Rate per 100,W01000030,Maeshyfryd,Police recorded public order offences per at-risk population,
1.2,Rate per 100,W01000030,Maeshyfryd,Police recorded criminal damage per at-risk population,
1.65,Rate per 100,W01000030,Maeshyfryd,Police recorded violence without injury per at-risk population,
2.29,Rate per 100,W01000030,Maeshyfryd,Police recorded stalking and harassment per at-risk population,
3.19,Rate per 100,W01000030,Maeshyfryd,Police recorded antisocial behaviour per at-risk population,
0.57,Rate per 100,W01000030,Maeshyfryd,Police recorded theft per at-risk population,
0.47,Rate per 100,W01000030,Maeshyfryd,Police recorded burglary per residential dwelling,
0.32,Rate per 100,W01000030,Maeshyfryd,Fire incidents per at-risk population,
0.59,Rate per 100,W01000031,Mechell,Police recorded violence with injury per at-risk population,
0.46,Rate per 100,W01000031,Mechell,Police recorded public order offences per at-risk population,
0.47,Rate per 100,W01000031,Mechell,Police recorded criminal damage per at-risk population,
0.89,Rate per 100,W01000031,Mechell,Police recorded violence without injury per at-risk population,
0.65,Rate per 100,W01000031,Mechell,Police recorded stalking and harassment per at-risk population,
0.86,Rate per 100,W01000031,Mechell,Police recorded antisocial behaviour per at-risk population,
0.39,Rate per 100,W01000031,Mechell,Police recorded theft per at-risk population,
,Rate per 100,W01000031,Mechell,Police recorded burglary per residential dwelling,Confidential
0.3,Rate per 100,W01000031,Mechell,Fire incidents per at-risk population,
1,Rate per 100,W01000033,Morawelon,Police recorded violence with injury per at-risk population,
0.94,Rate per 100,W01000033,Morawelon,Police recorded public order offences per at-risk population,
1.17,Rate per 100,W01000033,Morawelon,Police recorded criminal damage per at-risk population,
1.74,Rate per 100,W01000033,Morawelon,Police recorded violence without injury per at-risk population,
1.57,Rate per 100,W01000033,Morawelon,Police recorded stalking and harassment per at-risk population,
2.47,Rate per 100,W01000033,Morawelon,Police recorded antisocial behaviour per at-risk population,
0.6,Rate per 100,W01000033,Morawelon,Police recorded theft per at-risk population,
,Rate per 100,W01000033,Morawelon,Police recorded burglary per residential dwelling,Confidential
0.49,Rate per 100,W01000033,Morawelon,Fire incidents per at-risk population,
0.56,Rate per 100,W01000034,Parc a'r Mynydd,Police recorded violence with injury per at-risk population,
0.51,Rate per 100,W01000034,Parc a'r Mynydd,Police recorded public order offences per at-risk population,
0.81,Rate per 100,W01000034,Parc a'r Mynydd,Police recorded criminal damage per at-risk population,
1.21,Rate per 100,W01000034,Parc a'r Mynydd,Police recorded violence without injury per at-risk population,
1.16,Rate per 100,W01000034,Parc a'r Mynydd,Police recorded stalking and harassment per at-risk population,
1.73,Rate per 100,W01000034,Parc a'r Mynydd,Police recorded antisocial behaviour per at-risk population,
0.35,Rate per 100,W01000034,Parc a'r Mynydd,Police recorded theft per at-risk population,
,Rate per 100,W01000034,Parc a'r Mynydd,Police recorded burglary per residential dwelling,Confidential
0.62,Rate per 100,W01000034,Parc a'r Mynydd,Fire incidents per at-risk population,
,Rate per 100,W01000035,Pentraeth,Police recorded violence with injury per at-risk population,Confidential
0.48,Rate per 100,W01000035,Pentraeth,Police recorded public order offences per at-risk population,
0.39,Rate per 100,W01000035,Pentraeth,Police recorded criminal damage per at-risk population,
0.65,Rate per 100,W01000035,Pentraeth,Police recorded violence without injury per at-risk population,
0.79,Rate per 100,W01000035,Pentraeth,Police recorded stalking and harassment per at-risk population,
1.16,Rate per 100,W01000035,Pentraeth,Police recorded antisocial behaviour per at-risk population,
0.72,Rate per 100,W01000035,Pentraeth,Police recorded theft per at-risk population,
,Rate per 100,W01000035,Pentraeth,Police recorded burglary per residential dwelling,Confidential
0.2,Rate per 100,W01000035,Pentraeth,Fire incidents per at-risk population,
1.49,Rate per 100,W01000036,Porthyfelin 1,Police recorded violence with injury per at-risk population,
1.43,Rate per 100,W01000036,Porthyfelin 1,Police recorded public order offences per at-risk population,
1.43,Rate per 100,W01000036,Porthyfelin 1,Police recorded criminal damage per at-risk population,
2.35,Rate per 100,W01000036,Porthyfelin 1,Police recorded violence without injury per at-risk population,
2.41,Rate per 100,W01000036,Porthyfelin 1,Police recorded stalking and harassment per at-risk population,
3.29,Rate per 100,W01000036,Porthyfelin 1,Police recorded antisocial behaviour per at-risk population,
0.97,Rate per 100,W01000036,Porthyfelin 1,Police recorded theft per at-risk population,
0.91,Rate per 100,W01000036,Porthyfelin 1,Police recorded burglary per residential dwelling,
0.21,Rate per 100,W01000036,Porthyfelin 1,Fire incidents per at-risk population,
0.57,Rate per 100,W01000037,Porthyfelin 2,Police recorded violence with injury per at-risk population,
0.49,Rate per 100,W01000037,Porthyfelin 2,Police recorded public order offences per at-risk population,
0.87,Rate per 100,W01000037,Porthyfelin 2,Police recorded criminal damage per at-risk population,
0.8,Rate per 100,W01000037,Porthyfelin 2,Police recorded violence without injury per at-risk population,
1.1,Rate per 100,W01000037,Porthyfelin 2,Police recorded stalking and harassment per at-risk population,
0.99,Rate per 100,W01000037,Porthyfelin 2,Police recorded antisocial behaviour per at-risk population,
0.54,Rate per 100,W01000037,Porthyfelin 2,Police recorded theft per at-risk population,
,Rate per 100,W01000037,Porthyfelin 2,Police recorded burglary per residential dwelling,Confidential
0.17,Rate per 100,W01000037,Porthyfelin 2,Fire incidents per at-risk population,
0.62,Rate per 100,W01000038,Rhosyr,Police recorded violence with injury per at-risk population,
0.86,Rate per 100,W01000038,Rhosyr,Police recorded public order offences per at-risk population,
0.83,Rate per 100,W01000038,Rhosyr,Police recorded criminal damage per at-risk population,
1.11,Rate per 100,W01000038,Rhosyr,Police recorded violence without injury per at-risk population,
1.32,Rate per 100,W01000038,Rhosyr,Police recorded stalking and harassment per at-risk population,
1.55,Rate per 100,W01000038,Rhosyr,Police recorded antisocial behaviour per at-risk population,
0.55,Rate per 100,W01000038,Rhosyr,Police recorded theft per at-risk population,
,Rate per 100,W01000038,Rhosyr,Police recorded burglary per residential dwelling,Confidential
0.21,Rate per 100,W01000038,Rhosyr,Fire incidents per at-risk population,
0.42,Rate per 100,W01000040,Trearddur 2,Police recorded violence with injury per at-risk population,
0.65,Rate per 100,W01000040,Trearddur 2,Police recorded public order offences per at-risk population,
0.61,Rate per 100,W01000040,Trearddur 2,Police recorded criminal damage per at-risk population,
0.69,Rate per 100,W01000040,Trearddur 2,Police recorded violence without injury per at-risk population,
0.65,Rate per 100,W01000040,Trearddur 2,Police recorded stalking and harassment per at-risk population,
1.62,Rate per 100,W01000040,Trearddur 2,Police recorded antisocial behaviour per at-risk population,
0.55,Rate per 100,W01000040,Trearddur 2,Police recorded theft per at-risk population,
,Rate per 100,W01000040,Trearddur 2,Police recorded burglary per residential dwelling,Confidential
1.26,Rate per 100,W01000040,Trearddur 2,Fire incidents per at-risk population,
1.24,Rate per 100,W01000041,Tudur,Police recorded violence with injury per at-risk population,
1.02,Rate per 100,W01000041,Tudur,Police recorded public order offences per at-risk population,
1.22,Rate per 100,W01000041,Tudur,Police recorded criminal damage per at-risk population,
2.92,Rate per 100,W01000041,Tudur,Police recorded violence without injury per at-risk population,
1.84,Rate per 100,W01000041,Tudur,Police recorded stalking and harassment per at-risk population,
2.97,Rate per 100,W01000041,Tudur,Police recorded antisocial behaviour per at-risk population,
0.55,Rate per 100,W01000041,Tudur,Police recorded theft per at-risk population,
0.86,Rate per 100,W01000041,Tudur,Police recorded burglary per residential dwelling,
0.21,Rate per 100,W01000041,Tudur,Fire incidents per at-risk population,
0.5,Rate per 100,W01000042,Tysilio,Police recorded violence with injury per at-risk population,
0.44,Rate per 100,W01000042,Tysilio,Police recorded public order offences per at-risk population,
0.68,Rate per 100,W01000042,Tysilio,Police recorded criminal damage per at-risk population,
0.79,Rate per 100,W01000042,Tysilio,Police recorded violence without injury per at-risk population,
0.92,Rate per 100,W01000042,Tysilio,Police recorded stalking and harassment per at-risk population,
